Country,Region,City,Population,Census_Year,Census_Date,Budget_USD,Actual_Spent_USD,Delay_Days,Census_Status,Supervisor,Households_Surveyed,Field_Workers,Data_Quality_Score
Australia,East,City_199,1949752,2010,15/07/2010,4031673.86,4075211.2,,In Progress,Wei Zhang,355,1,77.39
Brazil,South,City_180,3389159,1999,03/12/1999,1847458.73,1884488.55,0,Completed,,6839,42,72.41
South Africa,East,City_43,53731,2011,08/05/2011,1876294.25,1922958.34,0,,,9631,10,
Nigeria,North,City_346,741294,1998,01/08/1998,1561268.06,1564689.58,153,Cancelled,Ali Khan,1998,19,97.12
Nigeria,North,City_55,2880538,2022,03/10/2022,3751012.49,3767471.67,,Cancelled,Ali Khan,442,33,79
Nigeria,Central,City_190,2612655,1999,13/04/1999,2553466.67,2558421,,Cancelled,John Doe,6101,19,67.31
USA,West,City_487,230704,2010,22/01/2010,2712551.74,2720644.85,13,,Wei Zhang,7231,41,84.4
China,West,City_410,1396911,2022,26/06/2022,1356108.88,1372779.04,0,Cancelled,Jane Smith,3725,29,55.05
UK,South,City_472,2481056,2018,25/12/2018,2569053.16,2615637.09,0,Cancelled,John Doe,7483,13,53.08
UK,East,City_436,2161137,2012,09/06/2012,549478.43,587390.75,67,Cancelled,,981,36,60.34
South Africa,Central,City_465,3395012,2010,04/12/2010,862439.22,869660.61,0,Delayed,Jane Smith,5692,12,66.02
South Africa,West,City_396,2119612,2003,19/02/2003,3181876.55,3217911.68,,In Progress,John Doe,2723,25,
Australia,South,City_114,1326377,1999,27/09/1999,2965636.17,3010295,0,,John Doe,8813,41,81.06
India,North,City_170,1821169,2013,05/02/2013,1694210.44,1718639.26,,Delayed,Wei Zhang,2456,9,80.2
Australia,South,City_416,3206100,1996,07/05/1996,,4345342.19,0,In Progress,Wei Zhang,1133,24,
USA,South,City_11,4019053,2007,02/10/2007,207581.67,224231.46,,Cancelled,Jane Smith,1472,1,
Germany,Central,City_175,1954445,2005,10/03/2005,4192117.95,4220803.41,,In Progress,,1623,23,73.57
Brazil,North,City_380,3980368,2012,02/01/2012,1456631.7,1454315.49,0,Cancelled,Jane Smith,1690,34,82.91
China,Central,City_55,4639787,1996,18/07/1996,3283965.83,3322208.52,,Completed,Wei Zhang,6951,14,75.19
Australia,West,City_458,,2003,24/02/2003,1689000.78,1738837.15,57,In Progress,,7348,40,91.87
Australia,East,City_92,780438,2018,02/11/2018,2131284.79,2136415.14,,,John Doe,3036,37,61.95
China,North,City_113,2712128,2013,19/04/2013,4873333.46,4892809.3,,Cancelled,,4583,11,99.35
India,East,City_73,2841846,2014,12/01/2014,3612513.05,3658544.5,,Completed,,8195,35,65.95
Germany,East,City_173,674822,2016,15/03/2016,4150322.27,4160154.07,145,In Progress,,2388,3,67.16
Nigeria,East,City_499,1876173,2004,06/10/2004,587436.04,629383.89,0,Completed,Ali Khan,672,49,70.6
India,South,City_378,3122265,2013,04/05/2013,3772511.82,3780724.8,,Delayed,Ali Khan,5318,5,88.39
Nigeria,East,City_410,615429,2016,16/01/2016,4153484.17,4162303.11,,Completed,Ali Khan,6406,11,80.54
South Africa,Central,City_274,2135778,2008,23/07/2008,358496.11,391546.58,,In Progress,,5715,23,71.2
India,Central,City_174,380880,2012,25/08/2012,3891521.46,3940386.33,,Delayed,,6114,28,64.29
Canada,East,City_21,4228297,1996,04/02/1996,3809029.84,3830301.97,50,,Jane Smith,744,34,68.46
India,East,City_229,2730997,2004,01/01/2004,4487139.9,4516323.37,0,,Jane Smith,1793,28,55.4
Australia,North,City_481,2723495,2018,09/05/2018,3933511.17,3951640.43,,Delayed,,6418,45,75.64
South Africa,Central,City_334,4339253,2012,03/04/2012,2587846.93,2632187.22,,,Jane Smith,8732,46,51.02
Australia,South,City_28,1003514,2018,27/09/2018,1073705.73,1069117.72,0,Completed,,9282,33,68.98
Canada,East,City_366,2845485,2012,11/09/2012,639608.5,649996.22,0,Unknown,,1120,16,88.21
Brazil,North,City_111,1409367,2009,01/04/2009,3721204.74,3763482.89,176,Delayed,Wei Zhang,6846,9,97.93
Australia,West,City_468,617344,2010,20/02/2010,2085711.08,2132273.87,7,Completed,Ali Khan,432,43,
China,East,City_393,4243637,1999,19/07/1999,3688543,3731462.93,142,,Wei Zhang,5072,46,73.74
USA,East,City_225,1988951,2000,19/04/2000,1167246,1207525.04,7,,Ali Khan,2765,23,63.65
Germany,North,City_201,2901378,2019,28/10/2019,1606688.53,1621471.28,0,In Progress,,746,46,
USA,East,City_139,474849,2013,21/01/2013,2689447.91,2719572.51,0,,John Doe,1913,30,78.84
Brazil,South,City_1,4764653,2021,23/07/2021,4436595.61,4471240.33,0,Cancelled,Ali Khan,1723,41,81.39
Brazil,Central,City_197,3515297,2004,13/07/2004,4752328.2,4795186.19,,,,7334,1,93.43
Germany,South,City_445,3980614,2006,12/11/2006,2986051.89,3005990.29,0,,Ali Khan,9150,1,60.63
Germany,North,City_233,1446850,2006,27/03/2006,1081570.57,1079963.23,70,Delayed,Wei Zhang,4369,40,66.88
Canada,Central,City_403,2282261,2018,20/12/2018,2497783.72,2524461,27,,Jane Smith,874,37,78.37
Brazil,South,City_315,4355563,2009,27/03/2009,4291360.14,4304136.16,0,,John Doe,8744,46,97.54
Canada,West,City_442,4755406,2010,13/01/2010,4546039,4560367.88,0,,Jane Smith,4082,26,91.13
Brazil,West,City_402,1785282,2015,23/08/2015,2378951.94,2397392.36,0,,John Doe,5657,13,56.79
Germany,North,City_469,2893038,2007,13/03/2007,1207823.25,1234360.5,168,Completed,Wei Zhang,628,42,82.51
USA,West,City_459,1422487,2015,06/01/2015,1003567.35,1032850.57,0,Delayed,Ali Khan,7264,30,52.1
China,East,City_189,4149913,2022,02/11/2022,3909885.41,3920685.77,0,Delayed,Ali Khan,2975,29,57.61
India,West,City_466,4962763,1997,20/04/1997,2076200.71,2125570.78,0,In Progress,John Doe,8429,42,73.82
China,West,City_403,3904438,2021,07/06/2021,4533943.77,4569131.23,111,In Progress,,4757,26,74.97
Germany,South,City_152,3538092,2013,25/02/2013,4873852.1,4909748.89,,Delayed,Ali Khan,5972,33,69.62
Australia,Central,City_452,3027995,2000,25/02/2000,4289066.82,4296381.24,51,Cancelled,,3030,9,73.69
South Africa,West,City_444,1958691,2018,07/07/2018,2021494.61,2038570.8,0,,,8286,8,63.01
South Africa,East,City_389,1826450,2009,19/02/2009,3932783.36,3960284.44,0,Cancelled,Jane Smith,8685,8,74.93
Germany,North,City_6,4529205,2016,10/07/2016,1600525.33,1632783.68,0,Delayed,,5293,30,84.97
Brazil,East,City_227,3543297,2013,19/01/2013,1242781.2,1263196.65,,,,7519,31,
China,South,City_301,4121390,2008,02/03/2008,1519821.45,1548404.39,11,Delayed,,8552,36,87.22
India,Central,City_19,2051088,2008,17/12/2008,1631783.52,1644965.64,0,Cancelled,,3291,47,64.78
UK,Central,City_208,1965581,2013,14/08/2013,911316.03,955396.02,,In Progress,John Doe,8390,20,98.62
China,Central,City_488,750667,2019,16/05/2019,1306189.99,1348316.93,,,John Doe,8476,13,74.35
Brazil,East,City_145,576231,2017,18/09/2017,1470455.28,1466625.31,0,In Progress,,1040,50,89.01
India,East,City_332,2983417,2004,25/10/2004,4232734.31,4229635.11,0,Cancelled,Ali Khan,2638,36,53.4
India,South,City_269,2769793,2020,16/03/2020,4906375.55,4919406.79,155,,John Doe,7472,7,70.75
China,East,City_183,4193163,2014,09/12/2014,3346849.77,3360478.74,2,,,142,6,65.27
USA,South,City_487,1940442,1999,11/11/1999,3461620.78,3462427.14,,Completed,John Doe,7994,19,93.35
South Africa,South,City_300,,2019,20/07/2019,2858406.51,2883884.74,0,Cancelled,Jane Smith,9683,8,81.45
USA,West,City_449,978884,2006,12/02/2006,2066785.85,2086377.65,,Completed,John Doe,7016,49,69.12
South Africa,West,City_233,915473,2005,14/12/2005,2402055.07,2441264.79,45,In Progress,Wei Zhang,3696,39,62.28
Australia,West,City_263,1667094,2022,24/01/2022,4369305.6,4386668.56,,Cancelled,,426,37,68.19
China,South,City_5,3448645,2012,15/04/2012,3149959.69,3160926.7,0,,,9660,48,
Germany,Central,City_340,3173485,2000,11/05/2000,3584135.74,3629729.15,0,In Progress,Jane Smith,1946,24,89.25
Nigeria,North,City_270,142257,2021,15/01/2021,2470925.49,2517477.81,,In Progress,Wei Zhang,2749,29,98.26
South Africa,East,City_351,629725,2013,01/10/2013,1506944.81,1554117.22,,,,8276,9,91
Canada,West,City_4,2356605,2012,22/10/2012,2829019.05,2850297.1,157,In Progress,Wei Zhang,3900,2,68.25
India,Central,City_417,1508673,2010,24/07/2010,4606019.12,4641144.87,0,,Ali Khan,5878,48,63.11
Australia,Central,City_440,1671338,2018,03/07/2018,1707287.61,1717019.05,0,,Jane Smith,1715,7,90.74
Brazil,North,City_359,3868809,1997,25/08/1997,3543102.28,3576926.93,104,,,6568,3,70.52
Germany,South,City_412,3935347,2002,23/02/2002,1186815.47,1189057.24,,,,1748,39,91.64
Germany,North,City_362,2884064,2018,01/04/2018,943889.09,991660.06,,Cancelled,,2926,36,74.88
India,Central,City_440,408982,2005,04/12/2005,4369267.42,4376111.85,,,Jane Smith,7070,20,57.44
Australia,North,City_354,1322423,2005,22/06/2005,21629.53,17716.12,,Delayed,Ali Khan,6256,34,87.72
UK,West,City_391,2704728,2009,12/05/2009,181357.95,185313.7,,In Progress,Ali Khan,348,13,94.77
South Africa,East,City_312,2061434,2000,13/08/2000,4251874.4,4289669.42,55,,,7537,37,70.71
Canada,South,City_156,3128974,2010,28/10/2010,2516992.97,2551540.87,56,,,6599,27,78.11
Canada,North,City_145,3706373,2012,14/05/2012,4686868.42,4719370.57,0,Delayed,Jane Smith,2265,10,92.71
India,Central,City_111,1802889,1997,27/06/1997,,252098.95,0,Cancelled,Ali Khan,9944,24,60.72
Brazil,South,City_330,2107373,2017,13/02/2017,4549373.71,4566361.68,91,Delayed,Ali Khan,9077,35,59.84
USA,North,City_408,819191,1997,03/07/1997,951039.15,955511.32,0,Cancelled,John Doe,7517,2,80.44
UK,South,City_129,669643,1999,05/07/1999,1422818.99,1459277.57,,,Ali Khan,8020,13,63.86
USA,West,City_107,1094154,2018,18/03/2018,2201288.25,2248189.85,0,Completed,Jane Smith,8478,39,93.72
Canada,Central,City_473,4481147,1997,07/01/1997,2340350.15,2336696.31,101,,Ali Khan,8724,24,
India,North,City_153,3926834,2018,07/12/2018,4561762.11,4601606.91,,,,9305,40,85.67
Australia,Central,City_66,4788276,2022,23/02/2022,4946622.24,4971590.99,39,Delayed,Wei Zhang,87,10,67.59
China,South,City_97,2136066,2009,25/12/2009,1787618.54,1823232.31,0,,John Doe,8535,19,70.01
China,East,City_306,2640188,2007,18/12/2007,2827186.92,2828779.94,31,In Progress,Wei Zhang,2206,39,69.04
USA,West,City_473,203810,2004,14/04/2004,4285502.44,4311457.9,150,Cancelled,Ali Khan,8511,23,51.46
Brazil,West,City_406,4556923,2007,09/08/2007,4985314.43,5005076.3,0,,John Doe,9073,3,65.48
South Africa,East,City_408,4181280,2017,16/11/2017,3469227.83,3502439.63,132,,Wei Zhang,4509,45,95.96
UK,West,City_479,2706470,2012,04/02/2012,2359374.13,2393804.63,15,In Progress,,3608,12,85.28
Brazil,East,City_121,285141,2000,27/06/2000,355486.39,391208.64,84,In Progress,Jane Smith,2290,5,55.44
Nigeria,North,City_359,2269559,2009,28/05/2009,2469018.94,2494616.83,0,Delayed,Wei Zhang,8486,48,62.46
South Africa,North,City_314,1520302,2012,22/11/2012,4531259.15,4528463.4,165,Completed,Jane Smith,6132,27,97.38
Australia,North,City_326,140528,2014,27/02/2014,3613547.25,3646541.46,0,,John Doe,674,5,64.83
Nigeria,Central,City_170,1019687,2002,01/03/2002,4759099.14,4760780.58,0,Completed,Jane Smith,9344,29,56.13
South Africa,West,City_291,4869639,2007,09/06/2007,4588739.08,4596349.34,0,,,8157,23,74.5
Canada,Central,City_6,2446310,1998,19/03/1998,3990367.86,3997777.38,111,,Ali Khan,133,24,53.11
Nigeria,East,City_115,123309,2012,21/09/2012,1513227.86,1522830.09,,In Progress,John Doe,5604,22,
UK,South,City_298,3493079,1998,04/03/1998,2742975.81,2779877.71,,In Progress,Jane Smith,8806,17,72.8
Canada,West,City_96,3886156,2020,23/09/2020,806094.14,844074.1,,Completed,,4760,9,50.4
Canada,East,City_389,418157,2009,08/08/2009,2342182.23,2391942.42,99,,,2288,45,
Canada,South,City_51,2387073,2019,14/09/2019,4838240.64,4858621.82,0,Delayed,Jane Smith,2795,6,87.36
Nigeria,West,City_385,1503481,2004,05/12/2004,4415938.43,4419272.35,,Cancelled,John Doe,1404,48,54.2
Canada,North,City_337,2111859,2012,06/04/2012,3157344.72,3205718.94,,Cancelled,John Doe,8887,28,96.76
South Africa,North,City_415,2888464,2002,06/11/2002,4083124.42,4106006.85,0,,John Doe,7956,25,
Australia,Central,City_164,3325910,2019,02/01/2019,4194250.92,4211373.03,0,,,5628,7,
Germany,Central,City_122,,2021,28/02/2021,88077.69,97106.18,0,In Progress,Ali Khan,242,8,73.33
Canada,Central,City_310,3381891,2005,08/05/2005,4061307.87,4089497.5,97,In Progress,Ali Khan,901,9,82.25
Brazil,Central,City_415,297354,2016,02/09/2016,1221937.3,1259655.59,34,In Progress,Jane Smith,6495,49,95.31
South Africa,West,City_29,673956,1996,25/05/1996,2070327.66,2088605.31,0,Completed,Jane Smith,3500,1,96.91
India,Central,City_336,190333,2000,25/08/2000,1981788.76,2022782.63,176,Delayed,Wei Zhang,5077,45,
USA,West,City_472,4835738,1999,22/06/1999,3857999.86,3865735.34,43,Delayed,Ali Khan,9038,11,62.21
Canada,South,City_177,2747895,2003,17/01/2003,2311314.24,2337743.57,0,,Ali Khan,9285,39,52.94
Canada,South,City_40,3080603,2001,08/06/2001,3920003.42,3948627.35,113,,Jane Smith,1608,43,89.36
Canada,South,City_155,4029197,2008,20/01/2008,3607618.19,3604533.71,0,Completed,,5037,47,89.96
Brazil,South,City_207,4396898,2022,07/12/2022,4826423.08,4872958.19,132,In Progress,Ali Khan,8916,20,
Canada,North,City_151,1404699,1998,14/12/1998,1329373.88,1345401.03,71,In Progress,Wei Zhang,910,41,73.82
South Africa,South,City_498,1124496,1999,09/03/1999,2721146.4,2767510.81,,,Ali Khan,1592,45,84.15
India,West,City_492,555539,2022,04/08/2022,2339299.28,2372494.22,0,,,7286,6,73.43
China,East,City_368,4246601,2000,13/01/2000,2002291.89,2036765.63,0,,Wei Zhang,5246,13,
South Africa,South,City_36,2580609,2016,25/11/2016,3784429.99,3806507.31,0,Cancelled,Ali Khan,9869,30,94.63
Brazil,Central,City_40,792573,2017,19/06/2017,4612427.85,4658705.08,174,Unknown,,3913,19,74.73
Australia,East,City_136,3856506,2014,28/10/2014,2616120.48,2658549.34,0,Cancelled,,7097,32,59.22
USA,West,City_92,2263369,2022,23/12/2022,1636926.53,1678864.26,0,In Progress,Jane Smith,2113,42,93.78
China,North,City_375,4887578,2011,05/06/2011,1598290.73,1632157.36,,Cancelled,Jane Smith,5085,47,79.03
China,East,City_371,3511727,1998,17/10/1998,1011594.38,1055854.55,111,,Jane Smith,2926,6,
Nigeria,West,City_451,254063,2015,26/12/2015,752810.65,769397.23,0,Completed,,3397,8,57.27
Canada,West,City_156,3888094,1996,03/07/1996,1320650.43,1346570.76,0,,John Doe,2775,24,78.46
Nigeria,North,City_458,3425115,2015,23/07/2015,4263248.29,4286319.92,,Cancelled,Wei Zhang,3599,34,99.57
USA,West,City_455,3999565,2000,28/10/2000,2334894.61,2377059.08,26,Delayed,,7374,49,77.25
Canada,North,City_227,3934407,2020,12/07/2020,4998212.06,5028182.17,0,,,1201,49,74.42
Australia,South,City_87,3156747,2009,23/07/2009,380474.48,400997.94,0,Completed,John Doe,2581,2,88.16
South Africa,West,City_44,48627,2010,26/02/2010,4299524.41,4332076.41,,Completed,,1174,32,93.04
India,West,City_107,4506318,2009,08/01/2009,2795105.25,2794249.72,20,,,4452,12,60.84
India,East,City_390,1120629,1997,16/01/1997,554234.29,571897.52,,Cancelled,John Doe,706,15,
Canada,South,City_343,1352675,2003,28/02/2003,932099.14,969435.81,,Completed,John Doe,2073,47,85.79
South Africa,East,City_293,4462662,2018,28/10/2018,665742.68,698351.86,0,,,1304,24,62.54
UK,South,City_235,1286317,2001,11/08/2001,1149895.08,1187781.62,0,In Progress,John Doe,9735,26,
Canada,North,City_182,3685193,1998,11/06/1998,1410054.53,1415713.76,,In Progress,,2984,13,95.52
Brazil,South,City_148,2077903,2006,17/08/2006,3859708.23,3870130.16,105,Completed,John Doe,8349,15,60.49
Australia,East,City_377,1039643,2001,26/02/2001,2745485.14,2783054.53,0,In Progress,John Doe,3478,16,95.62
India,East,City_14,45384,2020,11/10/2020,4126175.93,4155793.96,,Completed,Ali Khan,825,23,82.05
UK,South,City_111,3275234,2014,01/02/2014,4175340.99,4205298.35,0,Completed,Ali Khan,8030,42,
Australia,South,City_114,311374,2006,07/12/2006,342979.18,366079.46,37,Cancelled,Wei Zhang,7547,35,97.24
Brazil,Central,City_386,4405294,2000,01/07/2000,4420759.59,4466732.55,0,,,728,20,86.49
India,Central,City_436,4115285,2019,18/06/2019,944710,965204.31,,,Wei Zhang,2563,5,65.09
Germany,East,City_258,3032381,2014,01/05/2014,2013896.01,2063559.77,,,Jane Smith,6669,26,74.3
Canada,South,City_398,528677,2021,10/09/2021,809194.69,844478.92,,In Progress,Jane Smith,8001,45,82.23
Nigeria,North,City_456,1907725,2003,16/06/2003,4560182.4,4603956.3,,Delayed,,155,8,73.74
Australia,East,City_368,1890457,1999,08/06/1999,2363851.99,2391731.3,164,Delayed,John Doe,7516,6,63.43
Nigeria,West,City_117,3568321,2012,13/04/2012,1266985.45,1279552.5,85,Completed,Jane Smith,9520,33,53.64
Australia,East,City_70,1564091,2020,07/12/2020,,546532.19,0,Completed,Ali Khan,8073,4,58.99
India,Central,City_471,2811972,2015,28/01/2015,1232220.26,1246256.97,,Completed,,7853,10,72.22
Brazil,West,City_276,870212,2015,27/11/2015,759746.43,769399.34,0,,,2281,44,80.07
UK,West,City_107,1690539,2003,22/07/2003,1360535.92,1362763.86,146,Completed,Jane Smith,7778,28,78.09
Brazil,Central,City_434,2930766,2011,15/05/2011,2943472.38,2947720.02,64,Delayed,Ali Khan,3707,12,57.82
China,North,City_201,,2011,05/03/2011,4800870.01,4837000.05,,Completed,John Doe,2819,47,94.73
India,South,City_242,474607,2012,12/04/2012,3657907.06,3704113.02,0,In Progress,John Doe,7041,10,71.82
UK,South,City_21,1926824,2009,28/07/2009,3978586.26,3983820.36,,Delayed,,2345,1,82.73
Brazil,East,City_419,2073912,2017,26/02/2017,3136989.73,3138570.66,0,Completed,Jane Smith,5378,1,52.45
South Africa,West,City_201,1783238,1999,22/10/1999,3761550.79,3765288.68,,Delayed,John Doe,4178,43,63.75
Canada,East,City_172,3062840,2017,28/12/2017,3819297.79,3827251.21,146,,,6596,43,64.8
